dataset	sample_ID	genes_1	genes_2	breakpoint1	breakpoint2	status	support_split	support_span	filters	source	duplicates	nb_sources
simulated	SRR7646883_sim_100_20_merged	AC022075.1;KLRC4-KLRK1;KLRK1	AL360181.3;MTG1	12:10381814	10:133398515	TP	89	20	PASS	manta		3
simulated	SRR7646883_sim_100_20_merged	DHRS4;DHRS4-AS1	MYO5A	14:23966283	15:52407399	TP	93	20	PASS	manta		3
simulated	SRR7646883_sim_100_20_merged	GAD1	RPL4	2:170849286	15:66501381	TP	93	20	PASS	manta		1
simulated	SRR7646883_sim_100_20_merged	VIPAS39	CEP192	14:77454010	18:13089565	TP	100	20	PASS	manta		3
simulated	SRR7646883_sim_100_20_merged	SMG1P4	LINC00470	16:21903449	18:1358760	TP	94	0	s0_LowEvidence	manta		3
simulated	SRR7646883_sim_100_20_merged	GOLGA8A	ZNF875	NA	NA	FN	NA	NA		manta		0
simulated	SRR7646883_sim_100_20_merged	KIF1B	STX16;STX16-NPEPL1	1:10277984	20:58659632	TP	93	19	PASS	manta		3
simulated	SRR7646883_sim_100_20_merged	NBEAL2	EVA1C	3:47003173	21:32495169	TP	100	20	PASS	manta		3
simulated	SRR7646883_sim_100_20_merged	SLC9A8	TRDN;TRDN-AS1	20:49815008	6:123464983	TP	100	20	PASS	manta		3
simulated	SRR7646883_sim_100_20_merged	ATOH8	RIMS2	2:85763988	8:104251160	TP	95	19	PASS	manta		3
simulated	SRR7646883_sim_100_20_merged	AC244502.1;TRDV2	KAZN	14:22423042	1:15017827	FP	0	0	Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_100_20_merged	ZNF362	ZNF362	1:33281811	1:33276100	FP	2	2	Inner;s0_Local;s0_LowEvidence	manta		1
simulated	SRR7646883_sim_100_20_merged	STIL	STIL	1:47280241	1:47282459	FP	15	11	Inner;s0_Local	manta	1:47295765->1:47304996	1
simulated	SRR7646883_sim_100_20_merged	TPM3	intergenic	1:154170791	21:8254042	FP	0	0	Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_100_20_merged	ABL2	ABL2	1:179131311	1:179133374	FP	6	4	Inner;s0_Local	manta	1:179110282->1:179112398	1
simulated	SRR7646883_sim_100_20_merged	MLLT10	MLLT10	10:21727928	10:21713772	FP	4	3	Inner;s0_Local;s0_LowEvidence	manta	10:21713950->10:21681332	1
simulated	SRR7646883_sim_100_20_merged	TPM4	intergenic	19:16102918	10:37673615	FP	27	0	s0_LowEvidence	manta		1
simulated	SRR7646883_sim_100_20_merged	KAT6B	KAT6B	10:74843478	10:74838683	FP	7	6	Inner;s0_Local;s0_LowEvidence	manta		1
simulated	SRR7646883_sim_100_20_merged	TPM4	CYP2C23P	19:16102875	10:100112667	FP	0	0	Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_100_20_merged	NUP98	NUP98	11:3768581	11:3776021	FP	25	18	Inner;s0_Local	manta	11:3773632->11:3776021,11:3731391->11:3753408,11:3713818->11:3719550,11:3683200->11:3713995	1
simulated	SRR7646883_sim_100_20_merged	BCL11A	UVRAG	2:60459083	11:75847978	FP	0	0	Imprecise;lowSupport	manta		1
simulated	SRR7646883_sim_100_20_merged	PICALM	PICALM	11:86022367	11:86031611	FP	38	2	Inner;s0_Local	manta	11:85996826->11:86031611,11:86007542->11:86031611	1
