sample_ID	r_length	split_r	spanning_r	genes_ID1	genes_1	genes_ID2	genes_2	chr1	breakpoint1	chr2	breakpoint2
SRR7646883_sim_1_0_merged	125	1	0	ENSG00000007341	ST7L	ENSG00000133687	TMTC1	1	112616813	12	29784759
SRR7646883_sim_1_0_merged	125	1	0	ENSG00000260602	HMGN2P40	ENSG00000111247	RAD51AP1	15	68254549	12	4553147
SRR7646883_sim_1_0_merged	125	1	0	ENSG00000187240	DYNC2H1	ENSG00000171723	GPHN	11	103455186	14	67089075
SRR7646883_sim_1_0_merged	125	1	0	ENSG00000214026	MRPL23	ENSG00000103994	ZNF106	11	1955611	15	42421988
SRR7646883_sim_1_0_merged	125	1	0	ENSG00000124302	CHST8	ENSG00000087191	PSMC5	19	33621971	17	63829563
SRR7646883_sim_1_0_merged	125	1	0	ENSG00000173575	CHD2	ENSG00000161249	DMKN	15	92900324	19	35505986
SRR7646883_sim_1_0_merged	125	1	0	ENSG00000145194	ECE2	ENSG00000215859	PDZK1P1	3	184277925	1	148012099
SRR7646883_sim_1_0_merged	125	1	0	ENSG00000271913	AL035530.2	ENSG00000156265	MAP3K7CL	6	159040919	21	29160056
SRR7646883_sim_1_0_merged	125	1	0	ENSG00000178209	PLEC	ENSG00000152969	JAKMIP1	8	143935198	4	6200555
SRR7646883_sim_1_0_merged	125	1	0	ENSG00000142002	DPP9	ENSG00000104365	IKBKB	19	4722499	8	42322494
SRR7646883_sim_3_1_merged	125	3	1	ENSG00000114346	ECT2	ENSG00000089053	ANAPC5	3	172754509	12	121309863
SRR7646883_sim_3_1_merged	125	3	1	ENSG00000100599	AL159141.1	ENSG00000172915	NBEA	14	92641238	13	35550594
SRR7646883_sim_3_1_merged	125	3	1	ENSG00000138385	SSB	ENSG00000090861	AARS1	2	169805665	16	70258217
SRR7646883_sim_3_1_merged	125	3	1	ENSG00000172262	ZNF131	ENSG00000129657	SEC14L1	5	43167930	17	77193549
SRR7646883_sim_3_1_merged	125	3	1	ENSG00000136040	PLXNC1	ENSG00000012124	CD22	12	94226489	19	35341138
SRR7646883_sim_3_1_merged	125	3	1	ENSG00000048991	R3HDM1	ENSG00000213801	ZNF321P	2	135721509	19	52929397
