dataset	sample_ID	genes_1	genes_2	breakpoint1	breakpoint2	status	support_split	support_span	filters	source	duplicates	nb_sources
Tembe_2014	SRR1544075	EWSR1	ATF1	22:29287134	12:50814280	TP	38	0	s0_LowEvidence	manta		4
Tembe_2014	SRR1544075	TMPRSS2	ETV1	21:41494375	7:13935838	TP	32	2	PASS	manta		4
Tembe_2014	SRR1544075	EWSR1	FLI1	22:29287134	11:128807180	TP	41	3	PASS	manta		4
Tembe_2014	SRR1544075	ETV6	NTRK3	12:11869969	15:87940753	TP	43	14	PASS	manta		4
Tembe_2014	SRR1544075	CD74	AL132671.2;ROS1	5:150404680	6:117324415	TP	17	5	PASS	manta		4
Tembe_2014	SRR1544075	HOOK3	RET	8:42968214	10:43116584	TP	38	5	PASS	manta		4
Tembe_2014	SRR1544075	EML4	ALK	2:42301392	2:29223584	TP	22	5	PASS	manta		1
Tembe_2014	SRR1544075	AKAP9	BRAF	7:92003235	7:140787584	TP	32	3	PASS	manta		4
Tembe_2014	SRR1544075	BRD4	NUTM1	19:15254152	15:34347969	TP	25	6	PASS	manta		4
Tembe_2014	SRR1544075	MT-ND2	AL669831.3;MTND2P28	MT:5352	1:630463	FP	200	0	s0_LowEvidence	manta		1
Tembe_2014	SRR1544075	RER1	SORCS2	1:2393059	4:7530353	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	TNFRSF14	TNFRSF14	1:2564723	1:2562078	FP	2	7	Inner;s0_Local	manta		1
Tembe_2014	SRR1544075	PLOD1	PLOD1	1:11974803	1:11972888	FP	5	5	Inner;s0_Local;s0_LowEvidence	manta		1
Tembe_2014	SRR1544075	HNRNPRP1;MLLT10	HNRNPR	10:21625634	1:23318688	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	CAPNS1	PTAFR	19:36150209	1:28171689	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	LDLR;SPC24	intergenic	19:11132517	1:83242562	FP	0	6	Imprecise	manta		1
Tembe_2014	SRR1544075	AL359504.1;PRKACB	TXN2	1:84086233	22:36467328	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	PRKACB	TXN2	1:84086552	22:36467456	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	FN1	LRRC8B	2:215372300	1:89548962	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	intergenic	HFM1	21:8445274	1:91387591	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	PKM	intergenic	15:72199088	8:75377533	FP	37	0	s0_LowEvidence	manta	15:72199032->1:114538362	1
Tembe_2014	SRR1544075	LINC00623	RFWD3	1:120935583	16:74621691	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	SF3B4	PAQR4;PKMYT1	1:149923545	16:2971714	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	SF3B4	intergenic	1:149923546	3:105366497	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	CDC42SE1;MLLT11	intergenic	1:151058082	18:5059419	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	ADAR	PCNT	1:154582471	21:46443469	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	ADAR	ZMIZ1-AS1	1:154582475	10:78974674	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	intergenic	ISG20L2	1:156629279	1:156722501	FP	0	3	Imprecise	manta		1
Tembe_2014	SRR1544075	HDGF	AP001043.1	1:156742236	21:38936372	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	OTX2-AS1	KIRREL1	14:56904276	1:158097271	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	EI24;FEZ1	intergenic	11:125584242	1:158455833	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	CNIH3	CNIH3	1:224587690	1:224585731	FP	3	3	Inner;s0_Local;s0_LowEvidence	manta		1
Tembe_2014	SRR1544075	UBALD2	DISC1;TSNAX-DISC1	17:76271160	1:231627219	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	IRF2BP2	intergenic	1:234605166	2:183493198	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	AC062031.1	IRF2BP2	2:145919800	1:234605171	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	HECTD4	intergenic	12:112161257	1:238083981	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	TP53I11	intergenic	11:44933036	10:6075242	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	intergenic	MAP3K13	10:9121005	3:185292322	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	RPLP1	DNAJC1	15:69455546	10:21953822	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	PDXDC1;PKD1P6	SLC16A9	16:15138817	10:59666158	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	intergenic	PJA2	10:69213564	5:109341034	FP	4	0	s0_LowEvidence	manta		1
Tembe_2014	SRR1544075	KIF11	CYC1	10:92650900	8:144096790	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	GPNMB	intergenic	7:23260773	10:93560188	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	USB1	NRAP	16:58015113	10:113632816	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	AC009690.1;AC009690.2;HEXA	CFAP46	15:72345446	10:132809080	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	PSMD13	KHDRBS2	11:243020	6:61974721	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	MUSK	ZNF195	9:110711524	11:3358766	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	ZNF195	PRELID2	11:3358766	5:145673747	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	NAV2	C9orf78	11:19994568	9:129827783	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	RYBP	SYT13	3:72376919	11:45249893	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	AP001803.1	GNAS	11:56736361	20:58903531	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	intergenic	intergenic	2:94790180	21:8777615	FP	32	0	s0_LowEvidence	manta	2:94790180->22:12797309,11:127756743->21:27696864,Y:11169459->11:60747422,6:79193433->18:22452650,X:2745460->2:106914857,20:29453937->20:29124855,21:13907715->6:45687893,6:104085592->22:11902996,6:104085592->9:64134425,8:43503723->9:64134429	1
Tembe_2014	SRR1544075	DCT	intergenic	13:94439626	11:61667976	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	GANAB	intergenic	11:62625221	8:63267304	FP	10	0	s0_LowEvidence	manta		1
Tembe_2014	SRR1544075	NEAT1	RIOK1	11:65426513	6:7409796	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	MT-ND2	TPCN2	MT:5480	11:69074362	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	intergenic	ANKMY1	11:80139251	2:240522159	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	SLC25A1	SLC25A1P1	22:19176578	11:85935479	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	SLC25A1	intergenic	22:19176064	11:85935722	FP	0	0	Imprecise;lowSupport	manta	22:19175886->11:85935917,22:19175882->7:63932242	1
Tembe_2014	SRR1544075	MT-TS1	DYNC2H1;MTCO1P15	MT:7482	11:103404352	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	POLR2E	AP001889.1;RDX	19:1090087	11:110050016	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	intergenic	SLC37A2	19:1851909	11:125088955	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	MT-ND2	BARX2	MT:5481	11:129390524	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	A2ML1;A2ML1-AS1	TRA2B	12:8823272	3:185919198	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	AC141557.1	LINC01198	12:9406308	13:46465933	FP	18	0	s0_LowEvidence	manta		1
Tembe_2014	SRR1544075	intergenic	CCDC66;FAM208A	12:13165450	3:56621000	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	SOX5	intergenic	12:23530819	15:35180393	FP	58	0	s0_LowEvidence	manta		1
Tembe_2014	SRR1544075	HLA-B;HLA-C	LRRK2	6:31269996	12:40351643	FP	0	0	HLA;Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	TMEM178B	HOXC11	7:141269508	12:53975883	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	CRNDE	HOXC11	16:54919518	12:53975884	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	NXPH4	AL391117.1	12:57226242	9:22918917	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	RPL14P1	intergenic	12:62965801	2:176233687	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	RPL14P1	AC012519.1;CADPS	12:62965801	3:62779351	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	AC084357.2	LINC00997	12:63668953	7:32762401	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	E2F7	TRIM28	12:77023750	19:58548306	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	intergenic	RBM46	12:106348974	4:154812716	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	UBALD1	CUX2	16:4613015	12:111079689	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	GDF15	HECTD4	19:18389176	12:112302999	FP	0	0	Imprecise;lowSupport	manta		1
