dataset	sample_ID	genes_1	genes_2	breakpoint1	breakpoint2	status	support_split	support_span	filters	source	duplicates	nb_sources
Heyer_2019	SRR7646882	TCF3	PBX1	19:1619111	1:164792494	TP	219	16	PASS	manta		4
Heyer_2019	SRR7646882	IGHV3-21	HTR6	14:106235064	1:19676480	FP	0	0	IG;Imprecise;lowSupport	manta		1
Heyer_2019	SRR7646882	STIL	STIL	1:47280241	1:47282459	FP	42	40	Inner;s0_Local	manta		1
Heyer_2019	SRR7646882	KAT6B	KAT6B	10:74843478	10:74838683	FP	49	23	Inner;s0_Local	manta		1
Heyer_2019	SRR7646882	NUP98	NUP98	11:3731391	11:3753408	FP	29	26	Inner;s0_Local	manta		1
Heyer_2019	SRR7646882	intergenic	IGHJ6	11:25448352	14:105863258	FP	0	0	IG;Imprecise;lowSupport	manta	11:69540304->14:105863258	1
Heyer_2019	SRR7646882	AC008012.1;CCND2	SLC22A10	12:4300947	11:63245040	FP	0	0	Imprecise;lowSupport	manta		1
Heyer_2019	SRR7646882	PICALM	PICALM	11:86022367	11:86031611	FP	318	191	Inner;s0_Local	manta		1
Heyer_2019	SRR7646882	POU2AF1	intergenic	11:111353007	5:172981383	FP	0	0	Imprecise;lowSupport	manta		1
Heyer_2019	SRR7646882	PAFAH1B2	PAFAH1B2	11:117163892	11:117152441	FP	38	37	Inner;s0_Local	manta		1
Heyer_2019	SRR7646882	PAFAH1B2	intergenic	11:117169483	12:12569833	FP	0	0	Imprecise;lowSupport	manta		1
Heyer_2019	SRR7646882	KMT2A	KMT2A	11:118493230	11:118489792	FP	12	9	Inner;s0_Local	manta		1
Heyer_2019	SRR7646882	DDX6	DDX6	11:118758774	11:118763306	FP	3	4	Inner;s0_Local;s0_LowEvidence	manta		1
Heyer_2019	SRR7646882	ETS1	AC010546.1	11:128460077	16:62808287	FP	0	0	Imprecise;lowSupport	manta		1
Heyer_2019	SRR7646882	FLI1	FLI1	11:128782023	11:128758115	FP	75	38	Inner;s0_Local	manta		1
Heyer_2019	SRR7646882	KDM5A	LINC02376	12:318374	12:127279530	FP	0	9	Imprecise	manta		1
Heyer_2019	SRR7646882	ERC1	ERC1	12:1444750	12:1371833	FP	15	13	Inner;s0_Local;s0_LowEvidence	manta		1
Heyer_2019	SRR7646882	NUP88;RABEP1	LINC01619	17:5385450	12:92021018	FP	0	0	Imprecise;lowSupport	manta		1
Heyer_2019	SRR7646882	ZMYM5	ZMYM5	13:19835477	13:19838985	FP	5	6	Inner;s0_Local	manta		1
Heyer_2019	SRR7646882	ZMYM2	ZMYM2	13:20083776	13:20064451	FP	46	25	Inner;s0_Local	manta	13:20036909->13:19959958	1
Heyer_2019	SRR7646882	IGHV3-11	KLF12	14:106116635	13:73745918	FP	0	0	IG;Imprecise;lowSupport	manta		1
Heyer_2019	SRR7646882	TRAV1-2	TRAJ8	14:21643578	14:22536145	FP	0	0	Imprecise;lowSupport	manta		1
Heyer_2019	SRR7646882	TRIP11	TRIP11	14:92007640	14:92011072	FP	16	17	Inner;s0_Local	manta		1
Heyer_2019	SRR7646882	CIITA;DEXI	CIITA	16:10931043	16:10925575	FP	5	7	Inner;s0_Local;s0_LowEvidence	manta		1
Heyer_2019	SRR7646882	NUP88;RABEP1	RABEP1	17:5363016	17:5350451	FP	10	9	Inner;s0_Local;s0_LowEvidence	manta		1
Heyer_2019	SRR7646882	AC004702.1;SPECC1	AC004702.1;SPECC1	17:20205912	17:20204333	FP	210	198	Inner;s0_Local	manta		1
Heyer_2019	SRR7646882	TAF15	AC020928.1;AC020928.2	17:35810203	19:36775439	FP	0	0	Imprecise;lowSupport	manta		1
Heyer_2019	SRR7646882	MSI2	MSI2	17:57268553	17:57266646	FP	8	22	Inner;s0_Local	manta		1
Heyer_2019	SRR7646882	MSI2	LINC01483	17:57681801	17:69813888	FP	0	0	Imprecise;lowSupport	manta		1
Heyer_2019	SRR7646882	AC124319.2;RNF213	AC124319.2;RNF213	17:80393486	17:80390129	FP	8	9	Inner;s0_Local	manta		1
Heyer_2019	SRR7646882	AC104365.1;MALT1	AC104365.1;MALT1	18:58700591	18:58696366	FP	71	34	Inner;s0_Local	manta		1
Heyer_2019	SRR7646882	AC008735.2;U2AF2	U2AF2	19:55662526	19:55660573	FP	18	10	Inner;s0_Local	manta		1
Heyer_2019	SRR7646882	PPP1CB;SPDYA	PPP1CB;SPDYA	2:28788809	2:28783907	FP	50	36	Inner;s0_Local	manta		1
Heyer_2019	SRR7646882	IGKV3D-11	AC244205.1;IGKJ4	2:90173414	2:88860922	FP	0	0	IG;Imprecise;lowSupport	manta		1
Heyer_2019	SRR7646882	IGKV3D-20	AC244205.1;IGKJ4	2:90039479	2:88860922	FP	0	0	IG;Imprecise;lowSupport	manta		1
Heyer_2019	SRR7646882	IGKV1D-12	AC244205.1;IGKJ4	2:90160335	2:88860922	FP	0	0	IG;Imprecise;lowSupport	manta		1
Heyer_2019	SRR7646882	IGKV4-1	AC244205.1;IGKJ2	2:88886153	2:88861563	FP	0	17	IG;Imprecise	manta		1
Heyer_2019	SRR7646882	IGKV3D-20	IGKJ1	2:90039477	2:88861920	FP	57	0	IG;s0_LowEvidence	manta		1
Heyer_2019	SRR7646882	IGKV1D-33	intergenic	2:89914545	9:78416527	FP	0	0	IG;Imprecise;lowSupport	manta		1
Heyer_2019	SRR7646882	ASXL1	ASXL1	20:32369123	20:32366384	FP	398	159	Inner;s0_Local	manta		1
Heyer_2019	SRR7646882	PLCG1-AS1;TOP1	TOP1	20:41101353	20:41092472	FP	97	75	Inner;s0_Local	manta		1
Heyer_2019	SRR7646882	RUNX1	RUNX1	21:34834410	21:34859578	FP	160	55	Inner;s0_Local	manta		1
Heyer_2019	SRR7646882	IGLV10-54;IGLV8-61	IGLJ1;IGLL5	22:22099202	22:22893781	FP	6	1	IG	manta		1
Heyer_2019	SRR7646882	intergenic	IGLC2	9:14412335	22:22900976	FP	0	0	IG;Imprecise;lowSupport	manta		1
Heyer_2019	SRR7646882	IGLC3	IGLC2	22:22906803	22:22901306	FP	0	35	IG;Imprecise	manta		1
Heyer_2019	SRR7646882	MRTFA	MRTFA	22:40552106	22:40594735	FP	15	9	Inner;s0_Local	manta		1
Heyer_2019	SRR7646882	EP300	EP300	22:41140257	22:41125864	FP	45	25	Inner;s0_Local	manta		1
Heyer_2019	SRR7646882	TFRC	TFRC	3:196053418	3:196077122	FP	10	11	Inner;s0_Local;s0_LowEvidence	manta		1
Heyer_2019	SRR7646882	NSD2	NSD2	4:1904378	4:1900626	FP	52	37	Inner;s0_Local	manta		1
Heyer_2019	SRR7646882	AC058822.1;FIP1L1	AC058822.1;FIP1L1	4:53428183	4:53414615	FP	299	232	Inner;s0_Local	manta	4:53444103->4:53425872	1
Heyer_2019	SRR7646882	RANBP17	RANBP17	5:171205612	5:171183171	FP	26	35	Inner;s0_Local	manta		1
Heyer_2019	SRR7646882	NSD1	NSD1	5:177212195	5:177209636	FP	32	29	Inner;s0_Local	manta		1
Heyer_2019	SRR7646882	IKZF1	IKZF1	7:50327757	7:50319048	FP	47	35	Inner;s0_Local	manta		1
Heyer_2019	SRR7646882	DOCK5	IKZF1	8:25399040	7:50402680	FP	0	0	Imprecise;lowSupport	manta		1
Heyer_2019	SRR7646882	SBDS	SBDS	7:66991137	7:66994341	FP	64	32	Inner;s0_Local;s0_LowEvidence	manta		1
Heyer_2019	SRR7646882	SBDSP1	SBDSP1	7:72831798	7:72830751	FP	9	5	Inner;s0_Local	manta		1
Heyer_2019	SRR7646882	TRIM24	TRIM24	7:138579532	7:138576373	FP	27	21	Inner;s0_Local	manta	7:138551180->7:138519189	1
Heyer_2019	SRR7646882	C7orf55-LUC7L2;LUC7L2	C7orf55-LUC7L2;LUC7L2	7:139409654	7:139398599	FP	24	22	Inner;inNormal;s0_Local	manta		1
Heyer_2019	SRR7646882	NCOA2	NCOA2	8:70213903	8:70216764	FP	346	211	Inner;s0_Local	manta	8:70159505->8:70162854	1
Heyer_2019	SRR7646882	PSIP1	AL592293.2;CLCN3P1	9:15472632	9:15056052	FP	0	0	Imprecise;lowSupport	manta		1
Heyer_2019	SRR7646882	CNTRL	CNTRL	9:121166180	9:121161856	FP	158	81	Inner;s0_Local	manta	9:121125839->9:121124014	1
Heyer_2019	SRR7646882	NUP214	NUP214	9:131175485	9:131174198	FP	4	4	Inner;s0_Local	manta		1
Heyer_2019	SRR7646883	AFF1	MYC	4:87047594	8:127738248	TP	94	15	PASS	manta	4:87007424->8:127738248	4
Heyer_2019	SRR7646883	KMT2A	AFF1	11:118484314	4:87084120	TP	52	6	PASS	manta		4
Heyer_2019	SRR7646883	intergenic	ABL1	1:6579935	9:130835433	FP	0	0	Imprecise;lowSupport	manta		1
Heyer_2019	SRR7646883	STIL	STIL	1:47280241	1:47282459	FP	22	20	Inner;s0_Local	manta		1
Heyer_2019	SRR7646883	TPM4	intergenic	19:16102918	10:37673615	FP	42	0	s0_LowEvidence	manta		1
Heyer_2019	SRR7646883	KAT6B	KAT6B	10:74843478	10:74838683	FP	46	22	Inner;s0_Local	manta	10:74989112->10:74969660	1
Heyer_2019	SRR7646883	AC008012.1;CCND2	SLC22A10	12:4300947	11:63245040	FP	0	0	Imprecise;lowSupport	manta		1
Heyer_2019	SRR7646883	PICALM	PICALM	11:86011030	11:86031611	FP	110	7	Inner;s0_Local;s0_LowEvidence	manta		1
Heyer_2019	SRR7646883	POU2AF1	intergenic	11:111353005	5:172981383	FP	0	0	Imprecise;lowSupport	manta		1
Heyer_2019	SRR7646883	PAFAH1B2	PAFAH1B2	11:117163892	11:117152441	FP	32	16	Inner;s0_Local	manta		1
Heyer_2019	SRR7646883	PAFAH1B2	intergenic	11:117169483	12:12569833	FP	0	0	Imprecise;lowSupport	manta		1
Heyer_2019	SRR7646883	FLI1	FLI1	11:128782023	11:128758115	FP	21	18	Inner;s0_Local	manta		1
Heyer_2019	SRR7646883	intergenic	IGHV4-39	12:48570351	14:106421922	FP	0	0	IG;Imprecise;lowSupport	manta		1
Heyer_2019	SRR7646883	LINC01619	NUP88;RABEP1	12:92021018	17:5385450	FP	0	0	Imprecise;lowSupport	manta		1
Heyer_2019	SRR7646883	ZMYM2	ZMYM2	13:20006586	13:20002850	FP	29	16	Inner;s0_Local	manta	13:20083776->13:20064451	1
Heyer_2019	SRR7646883	IGHV3-11	intergenic	14:106116635	5:63294598	FP	0	0	IG;Imprecise;lowSupport	manta		1
Heyer_2019	SRR7646883	SEMA7A	ABL1	15:74433528	9:130835432	FP	0	0	Imprecise;lowSupport	manta		1
Heyer_2019	SRR7646883	CIITA;DEXI	CIITA	16:10931043	16:10925575	FP	7	5	Inner;s0_Local;s0_LowEvidence	manta		1
Heyer_2019	SRR7646883	intergenic	NUP88;RABEP1	2:116464978	17:5383741	FP	0	0	Imprecise;lowSupport	manta		1
Heyer_2019	SRR7646883	AC004702.1;SPECC1	AC004702.1;SPECC1	17:20205912	17:20204333	FP	528	508	Inner;s0_Local	manta		1
Heyer_2019	SRR7646883	MSI2	MSI2	17:57268553	17:57266646	FP	8	32	Inner;s0_Local	manta		1
Heyer_2019	SRR7646883	AC008735.2;U2AF2	U2AF2	19:55662526	19:55660573	FP	25	11	Inner;s0_Local	manta		1
Heyer_2019	SRR7646883	intergenic	IGKJ1	2:90039481	2:88861923	FP	6	0	IG;s0_LowEvidence	manta		1
Heyer_2019	SRR7646883	AL035658.1;EP300;EP300-AS1	intergenic	22:41179906	2:193238570	FP	0	0	Imprecise;lowSupport	manta		1
Heyer_2019	SRR7646883	SF3B1	SF3B1	2:197416741	2:197420542	FP	39	27	Inner;s0_Local	manta		1
