PMID	technique	sample_ID	sample_name	gene1	gene2	chr1	breakpoint1	chr2	breakpoint2
29929942	polyA selection on total RNA and filtering on 571 genes of interest	SRR3380691	V1-6	JAZF1	SUZ12	7	27895220	17	31940286
29929942	polyA selection on total RNA and filtering on 571 genes of interest	SRR3380690	V1-6	JAZF1	SUZ12	7	27895220	17	31940286
29929942	polyA selection on total RNA and filtering on 571 genes of interest	SRR6796292	V1-11	RUNX1	RUNX1T1	21	34859474	8	92017363
29929942	polyA selection on total RNA and filtering on 571 genes of interest	SRR6796293	V1-11	RUNX1	RUNX1T1	21	34859474	8	92017363
29929942	polyA selection on total RNA and filtering on 571 genes of interest	SRR3380693	V1-12	EWSR1	FLI1	22	29287134	11	128781958
29929942	polyA selection on total RNA and filtering on 571 genes of interest	SRR3380692	V1-12	EWSR1	FLI1	22	29287134	11	128781958
29929942	polyA selection on total RNA and filtering on 571 genes of interest	SRR3380694	V1-24	FUS	DDIT3	16	31182664	12	57517753
29929942	polyA selection on total RNA and filtering on 571 genes of interest	SRR3380695	V1-24	FUS	DDIT3	16	31182664	12	57517753
29929942	polyA selection on total RNA and filtering on 571 genes of interest	SRR6796329	V1-26	PML	RARA	15	74023408	17	40348316
29929942	polyA selection on total RNA and filtering on 571 genes of interest	SRR6796328	V1-26	PML	RARA	15	74023408	17	40348316
29929942	polyA selection on total RNA and filtering on 571 genes of interest	SRR3380701	V1-31	SS18	SSX1	18	26032399	X	48263782
29929942	polyA selection on total RNA and filtering on 571 genes of interest	SRR3380700	V1-31	SS18	SSX1	18	26032399	X	48263782
29929942	polyA selection on total RNA and filtering on 571 genes of interest	SRR3380702	V1-33	HMGA2	LPP	12	65838569	3	188866200
29929942	polyA selection on total RNA and filtering on 571 genes of interest	SRR3380703	V1-33	HMGA2	LPP	12	65838569	3	188866200
29929942	polyA selection on total RNA and filtering on 571 genes of interest	SRR3380704	V1-34	EWSR1	NR4A3	22	29296368	9	99826730
29929942	polyA selection on total RNA and filtering on 571 genes of interest	SRR3380705	V1-34	EWSR1	NR4A3	22	29296368	9	99826730
29929942	polyA selection on total RNA and filtering on 571 genes of interest	SRR6796334	V3-42	PML	RARA	15	74023408	17	40348316
29929942	polyA selection on total RNA and filtering on 571 genes of interest	SRR6796334	V3-42	RARA	PML	17	40331396	15	74024857
29929942	polyA selection on total RNA and filtering on 571 genes of interest	SRR6796335	V3-42	PML	RARA	15	74023408	17	40348316
29929942	polyA selection on total RNA and filtering on 571 genes of interest	SRR6796335	V3-42	RARA	PML	17	40331396	15	74024857
29929942	polyA selection on total RNA and filtering on 571 genes of interest	SRR6796352	V6-83	BCR	ABL1	22	23290413	9	130854064
29929942	polyA selection on total RNA and filtering on 571 genes of interest	SRR6796352	V6-83	NUP214	XKR3	9	131199015	22	16808083
29929942	polyA selection on total RNA and filtering on 571 genes of interest	SRR6796353	V6-83	BCR	ABL1	22	23290413	9	130854064
29929942	polyA selection on total RNA and filtering on 571 genes of interest	SRR6796353	V6-83	NUP214	XKR3	9	131199015	22	16808083
29929942	polyA selection on total RNA and filtering on 571 genes of interest	SRR6796358	V6-89	NPM1	ALK	5	171391799	2	29223528
29929942	polyA selection on total RNA and filtering on 571 genes of interest	SRR6796359	V6-89	NPM1	ALK	5	171391799	2	29223528
29929942	polyA selection on total RNA and filtering on 571 genes of interest	SRR6796361	V7-93	MDM2	TMPO	12	68824648	12	98537472
29929942	polyA selection on total RNA and filtering on 571 genes of interest	SRR6796360	V7-93	MDM2	TMPO	12	68824648	12	98537472
29929942	polyA selection on total RNA and filtering on 571 genes of interest	SRR6796362	V7-95	ZFP36L1	FNBP1	14	68792882	9	129994958
29929942	polyA selection on total RNA and filtering on 571 genes of interest	SRR6796363	V7-95	ZFP36L1	FNBP1	14	68792882	9	129994958
29929942	polyA selection on total RNA and filtering on 571 genes of interest	SRR6796365	V7-96	STXBP6	BRAF	14	24855936	7	140783157
29929942	polyA selection on total RNA and filtering on 571 genes of interest	SRR6796365	V7-96	BRAF	STXBP6	7	140787548	14	24819194
29929942	polyA selection on total RNA and filtering on 571 genes of interest	SRR6796364	V7-96	STXBP6	BRAF	14	24855936	7	140783157
29929942	polyA selection on total RNA and filtering on 571 genes of interest	SRR6796364	V7-96	BRAF	STXBP6	7	140787548	14	24819194
29929942	polyA selection on total RNA and filtering on 571 genes of interest	SRR6796367	V8-105	CDC27	ERBB2	17	47189146	17	39708321
